fips,year,n_plans,bid_mean_unweighted,w_sum,wx_sum,bid_mean_weighted,hhi,market_type
01001,2018,166,800.0877710843374,4996.0,3515860.6100000003,703.7351100880705,0.1036793405901662,competitive
01003,2018,253,765.72604743083,22598.333333333332,15321541.540000001,677.9943155099935,0.1273099671495666,competitive
01005,2018,158,800.8061392405064,2515.5,1783860.505,709.1474875770224,0.1373563943946471,competitive
01007,2018,162,801.2697530864198,2328.0,1550612.57,666.070691580756,0.1319518250847297,competitive
01009,2018,168,793.2939285714286,6603.0,4478107.76,678.1929062547326,0.1156854181880392,competitive
01011,2018,156,804.7525641025641,887.0,633488.56,714.1922886133033,0.1407693999128079,competitive
01013,2018,151,807.2770198675497,1108.0,873480.52,788.3398194945848,0.2410415227619283,uncompetitive
01015,2018,165,802.5257575757576,7528.0,5765873.73,765.9237154622742,0.1539555027437669,middle
01017,2018,154,806.501038961039,2490.0,1919297.14,770.8020642570281,0.3079566458605506,uncompetitive
01019,2018,156,804.3731410256411,2416.0,1802329.43,745.997280629139,0.1392479359457918,competitive
01021,2018,164,796.9939024390244,5319.0,3533735.85,664.3609419063733,0.1153420955309215,competitive
01023,2018,144,811.2100694444445,755.0,595869.73,789.2314304635761,0.2516292383810056,uncompetitive
01025,2018,162,797.2724074074074,2786.0,1994357.87,715.8499174443647,0.2415057030615079,uncompetitive
01027,2018,154,804.7219480519481,1250.0,912498.8,729.99904,0.1612491784035265,middle
01029,2018,150,810.3562,749.0,593664.38,792.6093190921229,0.2618266277600218,uncompetitive
01031,2018,161,801.6104347826086,2759.0,2038040.81,738.6882239942008,0.1641113645532673,middle
01033,2018,164,800.6955487804878,3670.7,2799291.69,762.6043234260495,0.1388872103894443,competitive
01035,2018,146,813.6295890410959,820.0,636355.11,776.0428170731707,0.225,middle
01037,2018,150,806.0562666666667,899.0,649224.79,722.1632814238043,0.1701272332006518,middle
01039,2018,155,804.9318064516128,1919.0,1523860.22,794.0907868681605,0.2562273917526417,uncompetitive
01041,2018,152,806.1193421052632,1281.0,971795.6799999999,758.6227010148322,0.1643774593058579,middle
01043,2018,161,797.0741614906832,7369.0,5204246.96,706.235168951011,0.106519388795595,competitive
01045,2018,161,801.3213043478261,2629.0,1906839.35,725.3097565614303,0.1633651029687519,middle
01047,2018,160,801.125625,3833.0,2642514.72,689.4116149230368,0.1433297651513702,competitive
01049,2018,164,797.0017073170732,4617.0,3392567.03,734.7990101797703,0.1466345453555193,competitive
01051,2018,170,793.3352352941176,7254.0,5339275.46,736.0456934105321,0.1152146816652273,competitive
01053,2018,164,798.8415243902439,3164.0,2214458.24,699.89198482933,0.1284634262507571,competitive
01055,2018,170,791.8274705882353,10304.0,7780982.77,755.1419613742236,0.1119596449608907,competitive
01057,2018,156,805.7694230769231,1237.0,950779.14,768.6169280517381,0.1787840401949069,middle
01059,2018,152,805.1342763157895,1378.0,1088398.1099999999,789.8389767779389,0.2202490623105289,middle
01061,2018,154,803.0715584415585,1844.0,1328970.92,720.7000650759219,0.1427194253744335,competitive
01063,2018,143,812.1780419580421,497.0,399609.45999999996,804.0431790744466,0.2253561611115384,middle
01065,2018,152,802.26,896.0,717882.31,801.2079352678572,0.1975122568558673,middle
01067,2018,152,806.4016447368422,1828.0,1319275.41,721.704272428884,0.1606908579883073,middle
01069,2018,168,791.9624404761905,8003.0,5629413.75,703.4129388979133,0.1315505320134949,competitive
01071,2018,161,798.0172670807453,3644.0,2704263.83,742.1141136114161,0.1626035791358454,middle
01073,2018,232,762.7226293103448,68774.0,47214216.06,686.5125782999389,0.0990676223751566,competitive
01075,2018,144,814.1922222222222,613.0,491073.17,801.0981566068515,0.2381489691805338,uncompetitive
01077,2018,166,793.6430120481928,6049.0,4645859.54,768.0376161348984,0.1376679911214965,competitive
01079,2018,160,801.1134374999999,2421.0,1854364.85,765.9499586947543,0.0964462986592771,competitive
01081,2018,170,795.9905882352941,7911.0,6266761.99,792.158006573126,0.2125078900058051,middle
01083,2018,162,795.1887037037037,5528.0,4239246.51,766.8680372648336,0.1064537122943111,competitive
01085,2018,158,801.3831012658228,1534.0,1039077.66,677.3648370273794,0.1371205308955292,competitive
01087,2018,158,803.3551898734177,1943.2,1349991.698,694.7260693701112,0.1675138202743485,middle
01089,2018,217,775.9878801843317,18173.0,13353515.34,734.799721564959,0.1014271151685203,competitive
01091,2018,144,811.4606944444445,1097.0,855835.53,780.1600091157703,0.2492776769992579,uncompetitive
01093,2018,152,806.719802631579,1513.5,1188511.9849999999,785.2738586058804,0.2436017560578091,uncompetitive
01095,2018,167,795.5847904191617,5503.0,4159938.55,755.9401326549155,0.1372502226638071,competitive
01097,2018,224,776.6069642857143,45704.0,30438272.72,665.9870628391387,0.1100037857756924,competitive
