fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,ma_share_clipped
01001,2014,2996.0,2335492.0,0.26019249520054333,3000.0,9438.0,0.3178639542275906,0.3178639542275906
01003,2014,12948.0,38361968.0,0.22882079874833094,13183.0,41640.0,0.3165946205571566,0.3165946205571566
01005,2014,844.0,283184.0,0.39754273264302237,859.0,6004.0,0.14307128580946035,0.14307128580946035
01007,2014,1596.0,837232.0,0.3286851213246148,1665.0,4599.0,0.36203522504892366,0.36203522504892366
01009,2014,4511.0,6744749.0,0.33145161405251855,4680.0,11193.0,0.4181184668989547,0.4181184668989547
01011,2014,437.0,125745.0,0.6584576554309862,443.0,1811.0,0.24461623412479294,0.24461623412479294
01013,2014,419.0,90901.0,0.5177744487670952,449.0,4580.0,0.0980349344978166,0.0980349344978166
01015,2014,3408.0,5496034.0,0.47320599555864135,3471.0,25339.0,0.13698251706855047,0.13698251706855047
01017,2014,1284.0,987654.0,0.5990661484263545,1361.0,8431.0,0.16142806310046257,0.16142806310046257
01019,2014,1305.0,507285.0,0.2978729026291452,1502.0,6500.0,0.23107692307692307,0.23107692307692307
01021,2014,3724.0,3509134.0,0.25303500618971086,3777.0,8330.0,0.453421368547419,0.453421368547419
01023,2014,292.0,67720.0,0.7942390692437605,297.0,3657.0,0.081214109926169,0.081214109926169
01025,2014,1267.0,1189461.0,0.7409637766159239,1270.0,5957.0,0.213194561020648,0.213194561020648
01027,2014,410.0,71124.0,0.42310529446757883,411.0,3348.0,0.12275985663082438,0.12275985663082438
01029,2014,345.0,67077.0,0.5635538752362949,406.0,3378.0,0.1201894612196566,0.1201894612196566
01031,2014,816.0,229928.0,0.3453118992695117,839.0,9602.0,0.0873776296604874,0.0873776296604874
01033,2014,1386.0,532014.0,0.2769469587651406,1400.0,13076.0,0.10706638115631692,0.10706638115631692
01035,2014,357.0,67685.0,0.5310751751681064,374.0,3391.0,0.11029194927749926,0.11029194927749926
01037,2014,309.0,48845.0,0.511567746462647,305.0,2464.0,0.12378246753246754,0.12378246753246754
01039,2014,746.0,282490.0,0.5076044534209259,762.0,9270.0,0.08220064724919093,0.08220064724919093
01041,2014,662.0,197674.0,0.4510592272797802,706.0,3340.0,0.21137724550898204,0.21137724550898204
01043,2014,3754.0,4506604.0,0.3197870415758265,3888.0,17842.0,0.21791279004595898,0.21791279004595898
01045,2014,902.0,274018.0,0.3367952959916618,917.0,9503.0,0.09649584341786804,0.09649584341786804
01047,2014,1960.0,2155182.0,0.5610115576842982,1919.0,9449.0,0.2030902741030797,0.2030902741030797
01049,2014,2636.0,2042608.0,0.29396404632023965,2674.0,14304.0,0.1869407158836689,0.1869407158836689
01051,2014,4015.0,3811133.0,0.23641934278212617,4097.0,14780.0,0.27719891745602165,0.27719891745602165
01053,2014,868.0,467450.0,0.6204341778334643,921.0,8247.0,0.11167697344488905,0.11167697344488905
01055,2014,4708.0,6917994.0,0.3121097046261213,5735.0,24000.0,0.23895833333333333,0.23895833333333333
01057,2014,509.0,65251.0,0.251855597284247,586.0,4754.0,0.12326461926798485,0.12326461926798485
01059,2014,444.0,99018.0,0.5022826880934989,496.0,6517.0,0.07610863894429952,0.07610863894429952
01061,2014,623.0,199789.0,0.5147489623295348,652.0,6420.0,0.1015576323987539,0.1015576323987539
01063,2014,128.0,8320.0,0.5078125,148.0,2085.0,0.07098321342925659,0.07098321342925659
01065,2014,201.0,36221.0,0.8965372144253855,241.0,3791.0,0.06357161698760222,0.06357161698760222
01067,2014,810.0,349718.0,0.533025453436976,841.0,4318.0,0.19476609541454376,0.19476609541454376
01069,2014,2713.0,3186523.0,0.43292978925377246,2826.0,21048.0,0.13426453819840364,0.13426453819840364
01071,2014,1607.0,841051.0,0.32567961651904836,1570.0,12135.0,0.12937783271528636,0.12937783271528636
01073,2014,47127.0,621333931.0,0.27975991169153946,50309.0,120428.0,0.41775168565449894,0.41775168565449894
01075,2014,277.0,27765.0,0.361857967652387,300.0,3759.0,0.07980845969672785,0.07980845969672785
01077,2014,2141.0,1345925.0,0.29362127856285974,2203.0,20091.0,0.10965108755164003,0.10965108755164003
01079,2014,734.0,191820.0,0.3560424385064853,791.0,7372.0,0.10729788388497016,0.10729788388497016
01081,2014,2341.0,1828691.0,0.3336856267041781,2472.0,19222.0,0.12860264280511913,0.12860264280511913
01083,2014,2337.0,1297303.0,0.23753302393506334,2536.0,15013.0,0.16892026910011324,0.16892026910011324
01085,2014,982.0,290800.0,0.30155839738511125,1010.0,2601.0,0.3883121876201461,0.3883121876201461
01087,2014,913.0,319767.0,0.3836119145505651,960.0,4308.0,0.22284122562674094,0.22284122562674094
01089,2014,7244.0,12214774.0,0.2327708286771954,7730.0,55164.0,0.14012761946196794,0.14012761946196794
01091,2014,461.0,106261.0,0.5000023527086735,468.0,5155.0,0.09078564500484966,0.09078564500484966
01093,2014,703.0,168247.0,0.34043694064656854,776.0,6834.0,0.11354989757096869,0.11354989757096869
01095,2014,1891.0,1738339.0,0.4861288728567869,2109.0,19089.0,0.11048247681911048,0.11048247681911048
01097,2014,31098.0,246465900.0,0.25485427451363446,31084.0,75119.0,0.41379677578242524,0.41379677578242524
01099,2014,646.0,213266.0,0.5110419921594188,659.0,5037.0,0.1308318443517967,0.1308318443517967
01101,2014,10437.0,28643753.0,0.2629532562039359,10418.0,38255.0,0.27233041432492483,0.27233041432492483
01103,2014,2386.0,1862122.0,0.3270899891726606,2679.0,23442.0,0.11428205784489379,0.11428205784489379
01105,2014,142.0,10532.0,0.52231700059512,142.0,2360.0,0.06016949152542373,0.06016949152542373
01107,2014,286.0,41186.0,0.5035209545699056,328.0,4827.0,0.06795110834887093,0.06795110834887093
01109,2014,1187.0,553765.0,0.39302851943513306,1225.0,5846.0,0.2095449880260007,0.2095449880260007
01111,2014,580.0,145774.0,0.43333531510107015,691.0,5239.0,0.13189539988547433,0.13189539988547433
01113,2014,1993.0,1818919.0,0.4579296478970929,2225.0,10392.0,0.2141070053887606,0.2141070053887606
01115,2014,6482.0,12313826.0,0.2930724258504861,6563.0,15608.0,0.4204894925679139,0.4204894925679139
01117,2014,10582.0,26508064.0,0.23672411198398724,10939.0,30021.0,0.3643782685453516,0.3643782685453516
01119,2014,167.0,15569.0,0.5582487719172433,195.0,2902.0,0.06719503790489317,0.06719503790489317
01121,2014,4445.0,8225867.0,0.41633042776289636,4313.0,18251.0,0.2363158183113254,0.2363158183113254
01123,2014,1186.0,544116.0,0.3868317555289507,1104.0,10406.0,0.10609263886219489,0.10609263886219489
01125,2014,3568.0,7606442.0,0.5974916861891452,3647.0,32114.0,0.11356417761723858,0.11356417761723858
01127,2014,5602.0,8218138.0,0.26187088790266033,5996.0,16931.0,0.3541432874608706,0.3541432874608706
01129,2014,449.0,115421.0,0.5725219616966186,485.0,3782.0,0.12823902696985723,0.12823902696985723
01131,2014,263.0,26081.0,0.37706197863204616,279.0,3006.0,0.09281437125748503,0.09281437125748503
01133,2014,648.0,214754.0,0.5114359472641365,758.0,5777.0,0.13120997057296174,0.13120997057296174
02020,2014,0.0,0.0,,147.0,30817.0,0.004770094428399909,0.004770094428399909
02090,2014,0.0,0.0,,44.0,8888.0,0.0049504950495049506,0.0049504950495049506
02110,2014,0.0,0.0,,,3979.0,,
02122,2014,0.0,0.0,,42.0,9049.0,0.004641396839429771,0.004641396839429771
02130,2014,0.0,0.0,,,2007.0,,
02170,2014,0.0,0.0,,67.0,10437.0,0.006419469196129156,0.006419469196129156
02240,2014,0.0,0.0,,,998.0,,
02261,2014,0.0,0.0,,,1200.0,,
04001,2014,496.0,90330.0,0.36717124089490116,581.0,10557.0,0.05503457421615989,0.05503457421615989
04003,2014,7686.0,21544858.0,0.36470597276704186,7719.0,26944.0,0.2864830760095012,0.2864830760095012
04005,2014,1517.0,653407.0,0.28393087526164684,1736.0,16308.0,0.10645082168260976,0.10645082168260976
04007,2014,1304.0,558258.0,0.3283067202378712,1550.0,14446.0,0.1072961373390558,0.1072961373390558
04009,2014,1552.0,1480632.0,0.6147006855138697,1593.0,5122.0,0.31101132370167905,0.31101132370167905
04011,2014,105.0,5693.0,0.5163718820861678,122.0,1151.0,0.10599478714161599,0.10599478714161599
04012,2014,620.0,114904.0,0.2989177939646202,743.0,5022.0,0.14794902429311033,0.14794902429311033
04013,2014,216781.0909090909,5323138073.190083,0.11327261749270583,240495.0,562541.0,0.4275155055364853,0.4275155055364853
04015,2014,13638.0,34191376.0,0.1838295003172235,14013.0,54630.0,0.256507413509061,0.256507413509061
04017,2014,3324.0,4785510.0,0.4331179649589247,3701.0,19012.0,0.19466652640437618,0.19466652640437618
04019,2014,74184.0,824201954.0,0.1497659708918849,82891.0,181124.0,0.4576477992977187,0.4576477992977187
04021,2014,22203.0,93586077.0,0.1898400872328135,22281.0,61632.0,0.3615167445482866,0.3615167445482866
04023,2014,3612.0,3799960.0,0.29126180849119887,3500.0,7789.0,0.44935164976248554,0.44935164976248554
04025,2014,15801.0,49620069.0,0.1987413418316647,16710.0,64328.0,0.2597624673548066,0.2597624673548066
