fips,year,ffs_cost,ffs_quartile
01001,2018,4154.967430639324,1
01003,2018,4073.9045756457563,1
01005,2018,4513.676140849519,3
01007,2018,4475.988472622478,2
01009,2018,4189.022940445248,2
01011,2018,3992.749017038008,1
01013,2018,4228.708449260506,2
01015,2018,4392.575512087574,2
01017,2018,3853.010032069731,1
01019,2018,4380.3691158821175,2
01021,2018,4441.886003521126,2
01023,2018,4996.715808823529,4
01025,2018,4181.319613552144,2
01027,2018,3790.3694824109343,1
01029,2018,4248.489779062565,2
01031,2018,4226.524730307347,2
01033,2018,4437.981054897739,2
01035,2018,4466.040765391015,2
01037,2018,4082.8174692049274,1
01039,2018,4822.626435636991,3
01041,2018,4331.746268656716,2
01043,2018,4628.095688612407,3
01045,2018,4295.712501576889,2
01047,2018,4227.285293395532,2
01049,2018,4225.705521472392,2
01051,2018,4050.3328170805908,1
01053,2018,4662.217768147346,3
01055,2018,4977.274874337259,4
01057,2018,4547.48571945047,3
01059,2018,4515.815084476804,3
01061,2018,4456.674430972133,2
01063,2018,4361.427027027027,2
01065,2018,4360.656958438287,2
01067,2018,4017.618836565097,1
01069,2018,4375.688363126534,2
01071,2018,4534.62741539447,3
01073,2018,4388.5,2
01075,2018,4345.495855913293,2
01077,2018,3905.3878519762334,1
01079,2018,4245.024311983216,2
01081,2018,3599.1635966653434,1
01083,2018,4567.885874799358,3
01085,2018,4139.207653061225,1
01087,2018,3577.493007681702,1
01089,2018,4264.162665133685,2
01091,2018,3978.973290753375,1
01093,2018,4889.2438672438675,3
01095,2018,4467.782160255333,2
01097,2018,4347.870799337738,2
01099,2018,4525.62120077856,3
01101,2018,3958.0509843033888,1
01103,2018,4216.859187208528,2
01105,2018,3980.7462686567164,1
01107,2018,4697.991788448156,3
01109,2018,3969.6717567567566,1
01111,2018,4255.794486215539,2
01113,2018,4094.5013421561894,1
01115,2018,4553.14115016421,3
01117,2018,4437.451262190285,2
01119,2018,4078.927637314734,1
01121,2018,4333.203224825069,2
01123,2018,4160.958826595191,1
01125,2018,4485.916500012986,2
01127,2018,4551.4469709452405,3
01129,2018,4356.2614123346375,2
01131,2018,4074.7894395152566,1
01133,2018,4418.819017690876,2
02020,2018,4326.337242813105,2
02050,2018,5192.007756232687,4
02060,2018,4696.593144560357,3
02070,2018,7252.712106768351,4
02090,2018,3844.63189681646,1
02100,2018,5532.120848708487,4
02110,2018,4561.077678571429,3
02130,2018,5402.509983361065,4
02150,2018,4307.8547784303255,2
02170,2018,4577.565893864598,3
02180,2018,8447.5700066357,4
02220,2018,8237.219457013574,4
02240,2018,3860.466300940439,1
02280,2018,5930.35549132948,4
02290,2018,3996.1552346570397,1
04001,2018,4897.397884544545,3
04003,2018,4025.6122414087877,1
04005,2018,4134.47957718909,1
04007,2018,4300.65027178016,2
04009,2018,3977.9210641719046,1
04011,2018,3919.0946356275304,1
04012,2018,4621.684078667167,3
04013,2018,4482.691775887985,2
04015,2018,4268.048876091848,2
04017,2018,4547.475770798645,3
04019,2018,3839.4300909412254,1
04021,2018,4290.977624273725,2
04023,2018,2690.8847802130526,1
04025,2018,4010.68291558975,1
04027,2018,4653.174640294898,3
05001,2018,4077.957076566125,1
05003,2018,4659.126375576855,3
05005,2018,4262.145994267114,2
05007,2018,4155.638939082393,1
05009,2018,3889.8184667624396,1
05011,2018,4748.979908012588,3
05013,2018,4426.68877216021,2
05015,2018,3686.897447532615,1
05017,2018,5086.167544519689,4
05019,2018,3881.99191947831,1
05021,2018,4794.590637763116,3
05023,2018,3794.9899006352825,1
05025,2018,5350.955563210472,4
05027,2018,4159.612010633156,1
05029,2018,4300.982881419468,2
05031,2018,4598.499671836678,3
