fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost
01119,2014,167.0,15569.0,0.5582487719172433,195.0,2902.0,0.0671950379048931,364,
01121,2014,4496.0,4403826.0,0.217860023460949,4313.0,18251.0,0.2363158183113254,379,
01123,2014,1214.0,501806.0,0.3404853860371449,1104.0,10406.0,0.1060926388621948,378,
01125,2014,3865.0,3967587.0,0.2655996278004917,3647.0,32114.0,0.1135641776172385,378,
01127,2014,5842.0,5016234.0,0.1469787949027693,5996.0,16931.0,0.3541432874608706,387,
01129,2014,449.0,97139.0,0.4818378877088903,485.0,3782.0,0.1282390269698572,366,
01131,2014,263.0,23281.0,0.3365814165305267,279.0,3006.0,0.092814371257485,366,
01133,2014,678.0,198848.0,0.4325754213764238,758.0,5777.0,0.1312099705729617,367,
02013,2014,0.0,0.0,,,160.0,,345,
02016,2014,0.0,0.0,,,202.0,,345,
02020,2014,21.0,441.0,1.0,147.0,30817.0,0.0047700944283999,350,3669.2409749908657
02050,2014,0.0,0.0,,,1211.0,,345,5439.224777448071
02060,2014,0.0,0.0,,,121.0,,345,4083.4741697416976
02068,2014,0.0,0.0,,,193.0,,345,
02070,2014,0.0,0.0,,,420.0,,345,5810.935524652339
02090,2014,0.0,0.0,,44.0,8888.0,0.0049504950495049,347,3501.1033706598528
02100,2014,0.0,0.0,,,493.0,,345,3400.519855595668
02110,2014,0.0,0.0,,,3979.0,,347,3561.013485332963
02122,2014,0.0,0.0,,42.0,9049.0,0.0046413968394297,350,
02130,2014,0.0,0.0,,,2007.0,,346,4493.389166911981
02150,2014,0.0,0.0,,11.0,1318.0,0.0083459787556904,345,4931.661885245901
02164,2014,0.0,0.0,,,170.0,,345,
02170,2014,0.0,0.0,,67.0,10437.0,0.0064194691961291,348,3864.482104285524
02180,2014,0.0,0.0,,,742.0,,345,6720.218971631206
02185,2014,0.0,0.0,,,457.0,,345,
02188,2014,0.0,0.0,,,511.0,,345,
02220,2014,0.0,0.0,,,1184.0,,345,5369.848151848152
02230,2014,0.0,0.0,,,,,345,2860.6311111111117
02240,2014,0.0,0.0,,,998.0,,346,4233.234301780693
02261,2014,0.0,0.0,,,1200.0,,346,
02270,2014,0.0,0.0,,,492.0,,345,5524.627118644068
02282,2014,0.0,0.0,,,96.0,,345,
02290,2014,0.0,0.0,,,713.0,,345,3060.7679449360867
04001,2014,578.0,80882.0,0.2421007890231199,581.0,10557.0,0.0550345742161598,372,
04003,2014,8133.0,21314851.0,0.3222409702316352,7719.0,26944.0,0.2864830760095012,407,
04005,2014,1819.0,553537.0,0.1672943437135532,1736.0,16308.0,0.1064508216826097,387,
04007,2014,1608.0,369336.0,0.1428399049528477,1550.0,14446.0,0.1072961373390558,386,
04009,2014,1636.0,1486294.0,0.5553133649368428,1593.0,5122.0,0.311011323701679,379,
04011,2014,123.0,5205.0,0.3440412452905017,122.0,1151.0,0.1059947871416159,363,
04012,2014,637.0,96515.0,0.237857007312042,743.0,5022.0,0.1479490242931103,390,
04013,2014,243745.0909090909,4237985679.1900826,0.0713325467219967,240495.0,562541.0,0.4275155055364853,676,
