fips,year,ffs_cost
01001,2014,3740.8994189117802
01003,2014,3654.810516189485
01005,2014,4060.9294930588053
01007,2014,4338.15238967742
01009,2014,3776.224336648072
01011,2014,3677.2467207995005
01013,2014,4312.9588579535375
01015,2014,4169.657144330209
01017,2014,3407.5691890262287
01019,2014,4150.888731060606
01021,2014,3991.6011588380716
01023,2014,4988.932591768632
01025,2014,3886.8855837051965
01027,2014,3990.6875153298993
01029,2014,4244.5653125760155
01031,2014,3588.528576908324
01033,2014,4077.565279684795
01035,2014,4524.297719702793
01037,2014,3765.6471555409403
01039,2014,4117.795117461296
01041,2014,4081.362477432297
01043,2014,3990.150919065326
01045,2014,3996.5732333749825
01047,2014,4424.633837429112
01049,2014,3725.573296876899
01051,2014,3676.3116985311262
01053,2014,4664.88828845589
01055,2014,4524.992514200755
01057,2014,4395.395900335008
01059,2014,4186.341877568679
01061,2014,3896.518988802955
01063,2014,4364.245901639344
01065,2014,4020.719343724364
01067,2014,3968.2565789473683
01069,2014,3933.462722573234
01071,2014,3993.281680868939
01073,2014,3912.4162077011856
01075,2014,4001.0951557093426
01077,2014,3634.2348262643313
01079,2014,4074.5706229508196
01081,2014,3349.3385749782037
01083,2014,4097.925069803363
01085,2014,3998.473270440252
01087,2014,3286.2835093419985
01089,2014,3991.6521397148726
01091,2014,4095.159641426664
01093,2014,4286.2651955002175
01095,2014,4177.182008767693
01097,2014,3942.5230544702013
01099,2014,3995.4700598802397
01101,2014,3848.3222814598
01103,2014,3889.719930123089
01105,2014,4250.418809980806
01107,2014,4013.528936742934
01109,2014,3797.4339216530348
01111,2014,3725.458614991738
01113,2014,3950.9957831787165
01115,2014,3992.755463602764
01117,2014,3969.5725938895657
01119,2014,3926.815644444445
01121,2014,4107.683876887468
01123,2014,4147.585990798033
01125,2014,4311.142305150025
01127,2014,4183.94868900177
01129,2014,3830.886474973376
01131,2014,3485.7455585666967
01133,2014,4465.245714833759
02020,2014,3669.2409749908657
02050,2014,5439.224777448071
02060,2014,4083.4741697416976
02070,2014,5810.935524652339
