fips,year,ma_total_from_plans,sumsq_enroll,hhi,ma_enrollment,eligibles,ma_share,plan_count,ffs_cost,ffs_quartile,treated_competitive,control_uncompetitive,treated
02170,2018,151.0,18965.0,0.8317617648348756,213.0,14112.0,0.0150935374149659,390,4577.565893864598,3.0,0,1,0
04003,2018,9194.0,25448200.0,0.301056543056686,9412.0,31782.0,0.2961424705808319,456,,,0,1,0
04009,2018,1966.0,1836064.0,0.4750297271313241,1969.0,5681.0,0.3465939095229713,421,,,0,1,0
04011,2018,158.0,6620.0,0.2651818618811088,180.0,1325.0,0.1358490566037735,413,,,0,1,0
04013,2018,285236.0,6312867792.0,0.0775921916749913,282069.0,674506.0,0.4181860502352833,808,,,1,0,1
04017,2018,4230.0,4160184.0,0.2325047365156011,4404.0,23465.0,0.1876837843596846,429,,,0,1,0
04019,2018,103833.0,1423332247.0,0.1320187099703891,102831.0,218618.0,0.4703684051633442,647,,,1,0,1
04021,2018,34682.0,150427474.0,0.1250601355395627,30554.0,79258.0,0.3855005172979384,576,,,1,0,1
04023,2018,4923.0,6145477.0,0.2535688646389416,4919.0,9683.0,0.5080037178560364,450,,,0,1,0
04027,2018,7248.0,15786724.0,0.300507729314991,7356.0,34976.0,0.2103156450137236,460,,,0,1,0
05001,2018,601.0,45929.0,0.1271563478506427,613.0,4392.0,0.1395719489981785,415,,,1,0,1
05005,2018,4380.0,2646316.0,0.1379410354246158,4437.0,15476.0,0.2867019901783406,432,,,1,0,1
05015,2018,2365.0,806543.0,0.1441999919545521,2351.0,7529.0,0.3122592641785097,438,,,1,0,1
05019,2018,997.0,93419.0,0.0939820464402233,1031.0,4734.0,0.2177862272919307,399,,,1,0,1
05023,2018,1337.0,125375.0,0.0701371527476701,1321.0,8082.0,0.1634496411779262,430,,,1,0,1
05027,2018,819.0,156561.0,0.2334080246168158,788.0,5245.0,0.1502383222116301,404,,,0,1,0
05029,2018,1023.0,93417.0,0.0892636515567174,1061.0,5219.0,0.2032956505077601,426,,,1,0,1
05031,2018,3853.0,1146841.0,0.0772511925916949,3692.0,18870.0,0.1956544780074192,421,,,1,0,1
05033,2018,5293.0,6639579.0,0.2369936745447193,5278.0,13874.0,0.3804238143289606,412,,,0,1,0
05035,2018,2068.0,469066.0,0.1096813748414637,2016.0,9242.0,0.2181346028998052,430,,,1,0,1
05039,2018,462.0,27818.0,0.130329266692903,491.0,2002.0,0.2452547452547452,421,,,1,0,1
05045,2018,2847.0,675911.0,0.0833901164025159,2744.0,19695.0,0.1393247017009393,420,,,1,0,1
05047,2018,1257.0,179289.0,0.1134705316100956,1304.0,4310.0,0.3025522041763341,424,,,1,0,1
05049,2018,838.0,82946.0,0.1181156407174714,911.0,3755.0,0.2426098535286285,410,,,1,0,1
05051,2018,7441.0,4815473.0,0.0869713763684432,7178.0,29563.0,0.2428035043804756,441,,,1,0,1
05053,2018,637.0,43551.0,0.1073295397134823,704.0,4007.0,0.1756925380583978,419,,,1,0,1
05055,2018,2069.0,387361.0,0.0904888172920656,2078.0,9664.0,0.2150248344370861,410,,,1,0,1
05059,2018,1717.0,244103.0,0.0828004174907881,1726.0,7939.0,0.2174077339715329,421,,,1,0,1
05061,2018,509.0,74803.0,0.2887243757743717,534.0,3164.0,0.1687737041719342,396,,,0,1,0
05065,2018,844.0,72860.0,0.102283192201433,873.0,4086.0,0.2136563876651982,424,,,1,0,1
05067,2018,613.0,50025.0,0.1331270008968275,625.0,3934.0,0.1588713777325877,398,,,1,0,1
05069,2018,4019.0,2155375.0,0.1334402444323774,3907.0,15831.0,0.2467942644179142,438,,,1,0,1
05073,2018,242.0,15706.0,0.268185233249095,248.0,1844.0,0.1344902386117136,402,,,0,1,0
05075,2018,951.0,112011.0,0.1238510351050032,981.0,4475.0,0.219217877094972,406,,,1,0,1
05077,2018,584.0,44788.0,0.1313215425032839,611.0,2095.0,0.2916467780429594,423,,,1,0,1
05081,2018,596.0,117148.0,0.3297937029863519,616.0,3229.0,0.1907711365747909,396,,,0,1,0
05083,2018,1540.0,328048.0,0.138323494687131,1593.0,5814.0,0.2739938080495356,420,,,1,0,1
05085,2018,2633.0,531733.0,0.0766993874959629,2612.0,13182.0,0.1981489910483993,436,,,1,0,1
05089,2018,1597.0,286317.0,0.1122631703385613,1583.0,5528.0,0.2863603473227207,427,,,1,0,1
05091,2018,1896.0,1151970.0,0.3204531191582545,1880.0,8995.0,0.2090050027793218,398,,,0,1,0
05093,2018,2141.0,619565.0,0.1351616675912834,2136.0,8772.0,0.2435020519835841,424,,,1,0,1
05099,2018,404.0,41330.0,0.2532227232624252,480.0,2195.0,0.2186788154897494,393,,,0,1,0
